IpAddress;Test Number;Metric;Value
10.146.0.131;1;rttPktTransmit;100
10.146.0.131;2;rttPktTransmit;100
10.146.0.131;3;rttPktTransmit;100
10.146.0.131;4;rttPktTransmit;100
10.146.0.131;5;rttPktTransmit;100
10.146.0.131;6;rttPktTransmit;100
10.146.0.131;7;rttPktTransmit;100
10.146.0.131;8;rttPktTransmit;100
10.146.0.131;9;rttPktTransmit;100
10.146.0.131;10;rttPktTransmit;100
10.146.0.131;11;rttPktTransmit;100
10.146.0.131;12;rttPktTransmit;100
10.146.0.131;13;rttPktTransmit;100
10.146.0.131;14;rttPktTransmit;100
10.146.0.131;15;rttPktTransmit;100
10.146.0.131;16;rttPktTransmit;100
10.146.0.131;17;rttPktTransmit;100
10.146.0.131;18;rttPktTransmit;100
10.146.0.131;19;rttPktTransmit;100
10.146.0.131;20;rttPktTransmit;100
10.146.0.131;21;rttPktTransmit;100
10.146.0.131;22;rttPktTransmit;100
10.146.0.131;23;rttPktTransmit;100
10.146.0.131;24;rttPktTransmit;100
10.146.0.131;25;rttPktTransmit;100
10.146.0.131;26;rttPktTransmit;100
10.146.0.131;27;rttPktTransmit;100
10.146.0.131;28;rttPktTransmit;100
10.146.0.131;29;rttPktTransmit;100
10.146.0.131;30;rttPktTransmit;100
10.146.0.131;31;rttPktTransmit;100
10.146.0.131;32;rttPktTransmit;100
10.146.0.131;33;rttPktTransmit;100
10.146.0.131;34;rttPktTransmit;100
10.146.0.131;35;rttPktTransmit;100
10.146.0.131;36;rttPktTransmit;100
10.146.0.131;37;rttPktTransmit;100
10.146.0.131;38;rttPktTransmit;100
10.146.0.131;39;rttPktTransmit;100
10.146.0.131;40;rttPktTransmit;100
10.146.0.131;41;rttPktTransmit;100
10.146.0.131;42;rttPktTransmit;100
10.146.0.131;43;rttPktTransmit;100
10.146.0.131;44;rttPktTransmit;100
10.146.0.131;45;rttPktTransmit;100
10.146.0.131;46;rttPktTransmit;100
10.146.0.131;47;rttPktTransmit;100
10.146.0.131;48;rttPktTransmit;100
10.146.0.131;49;rttPktTransmit;100
10.146.0.131;50;rttPktTransmit;100
10.146.0.131;51;rttPktTransmit;100
10.146.0.131;52;rttPktTransmit;100
10.146.0.131;53;rttPktTransmit;100
10.146.0.131;54;rttPktTransmit;100
10.146.0.131;55;rttPktTransmit;100
10.146.0.131;56;rttPktTransmit;100
10.146.0.131;57;rttPktTransmit;100
10.146.0.131;58;rttPktTransmit;100
10.146.0.131;59;rttPktTransmit;100
10.146.0.131;60;rttPktTransmit;100
10.146.0.131;61;rttPktTransmit;100
10.146.0.131;62;rttPktTransmit;100
10.146.0.131;63;rttPktTransmit;100
10.146.0.131;64;rttPktTransmit;100
10.146.0.131;65;rttPktTransmit;100
10.146.0.131;66;rttPktTransmit;100
10.146.0.131;67;rttPktTransmit;100
10.146.0.131;68;rttPktTransmit;100
10.146.0.131;69;rttPktTransmit;100
10.146.0.131;70;rttPktTransmit;100
10.146.0.131;71;rttPktTransmit;100
10.146.0.131;72;rttPktTransmit;100
10.146.0.131;73;rttPktTransmit;100
10.146.0.131;74;rttPktTransmit;100
10.146.0.131;75;rttPktTransmit;100
10.146.0.131;76;rttPktTransmit;100
10.146.0.131;77;rttPktTransmit;100
10.146.0.131;78;rttPktTransmit;100
10.146.0.131;79;rttPktTransmit;100
10.146.0.131;80;rttPktTransmit;100
10.146.0.131;81;rttPktTransmit;100
10.146.0.131;82;rttPktTransmit;100
10.146.0.131;83;rttPktTransmit;100
10.146.0.131;84;rttPktTransmit;100
10.146.0.131;85;rttPktTransmit;100
10.146.0.131;86;rttPktTransmit;100
10.146.0.131;87;rttPktTransmit;100
10.146.0.131;88;rttPktTransmit;100
10.146.0.131;89;rttPktTransmit;100
10.146.0.131;90;rttPktTransmit;100
10.146.0.131;91;rttPktTransmit;100
10.146.0.131;92;rttPktTransmit;100
10.146.0.131;93;rttPktTransmit;100
10.146.0.131;94;rttPktTransmit;100
10.146.0.131;95;rttPktTransmit;100
10.146.0.131;96;rttPktTransmit;100
10.146.0.131;97;rttPktTransmit;100
10.146.0.131;98;rttPktTransmit;100
